1,21.9,51.5
2,27.2,51.5
3,28.8,51.5
4,27.0,51.5
5,28.4,51.4
6,25.1,51.4
7,22.8,51.4
8,23.4,51.4
9,26.2,51.3
10,29.9,51.3
11,26.0,51.5
12,21.5,51.5
13,10.1,50.1
14,5.2,50.2
15,4.1,50.2
16,4.1,50.2
17,2.6,50.2
18,3.9,50.1
19,29.5,50.5
20,62.9,50.9
21,9.4,50.9
22,12.7,51.0
23,27.6,51.4
24,7.7,51.7
25,8.0,51.7
26,12.3,51.5
27,8.3,51.5
28,7.3,51.5
29,6.5,51.4
30,6.4,51.4
31,10.2,51.4
32,8.7,51.4
33,13.1,51.4
34,18.7,51.4
35,7.8,51.4
36,11.7,51.4
37,10.4,51.4
38,7.8,51.4
39,11.1,51.4
40,9.8,51.4
41,9.9,51.4
42,8.7,51.4
43,9.8,51.4
44,6.5,51.4
45,9.6,51.4
46,9.1,51.4
47,10.0,51.4
48,7.4,51.4
49,6.6,51.4
50,10.2,51.4
51,9.9,51.4
52,8.7,51.4
53,10.8,51.4
54,9.5,51.4
55,9.8,51.4
56,7.5,51.4
57,11.2,51.4
58,8.3,51.4
59,8.2,51.4
60,8.6,51.4
61,8.9,51.4
62,7.7,51.4
63,8.8,51.4
64,8.5,51.4
65,11.5,51.4
66,7.4,51.4
67,10.1,51.4
68,6.6,51.5
69,7.2,51.5
70,9.2,51.5
71,8.4,51.5
72,9.4,51.5
73,6.5,51.5
74,8.8,51.5
75,11.8,51.5
76,14.1,51.5
77,11.8,51.5
78,13.0,51.6
79,8.9,51.6
80,10.4,51.6
81,15.9,51.6
82,29.3,52.4
83,39.3,53.7
84,23.4,54.1
85,22.6,54.1
86,6.7,53.4
87,12.1,53.4
88,39.2,54.2
89,10.8,54.5
90,9.3,54.5
91,12.9,54.2
92,10.0,54.2
93,10.6,54.1
94,22.3,54.0
95,6.8,54.0
96,8.4,54.0
97,9.3,54.0
98,8.1,54.0
99,9.5,54.0
100,11.9,54.0
101,13.2,54.0
102,9.7,54.0
103,13.7,54.0
104,10.5,54.0
105,9.4,53.9
106,8.2,53.9
107,8.5,53.9
108,9.5,53.9
109,8.3,53.9
110,4.4,53.9
111,8.0,53.9
112,7.2,53.9
113,5.6,53.9
114,9.4,53.9
115,7.2,53.9
116,9.4,53.9
117,7.0,53.9
118,9.2,53.9
119,7.0,53.9
120,6.2,53.9
121,7.1,53.9
122,13.8,53.9
123,8.5,53.9
124,10.3,53.9
125,6.8,54.0
126,7.7,53.9
127,6.6,54.0
128,7.1,53.9
129,6.9,53.9
130,4.8,53.9
131,9.4,53.9
132,7.9,53.9
133,8.3,53.9
134,6.2,53.9
135,9.5,53.9
136,9.6,53.9
137,8.5,53.9
138,8.0,54.0
139,7.0,54.0
140,6.7,54.0
141,3.9,54.0
142,6.5,54.0
143,6.8,54.0
144,6.6,54.0
145,7.9,54.0
146,8.7,53.9
147,6.5,54.0
148,6.5,54.0
149,7.4,54.0
150,7.2,54.0
151,8.6,54.0
152,6.5,54.0
153,17.9,54.0
154,8.4,54.0
155,8.0,54.0
156,6.1,54.0
157,6.4,53.9
158,7.8,53.9
159,8.0,53.9
160,7.3,53.9
161,7.0,53.9
162,10.4,53.9
163,6.9,53.9
164,8.1,53.9
165,5.2,53.9
166,7.3,53.9
167,5.7,53.9
168,7.5,53.9
169,7.9,53.9
170,5.6,53.9
171,7.4,53.9
172,7.8,54.1
173,6.6,54.0
174,8.9,54.1
175,4.9,54.1
176,9.2,54.1
177,6.9,54.1
178,8.3,54.1
179,7.0,54.1
180,9.6,54.1
181,7.3,54.1
182,8.3,54.1
183,9.2,54.1
184,9.3,54.1
185,8.8,54.1
186,7.0,54.1
187,8.4,54.1
188,6.5,54.1
189,7.6,54.0
190,6.5,54.1
191,7.0,54.0
192,9.1,54.0
193,6.8,54.0
194,5.4,54.0
195,6.2,54.2
196,4.1,54.2
197,7.4,54.2
198,6.2,54.2
199,5.6,54.2
200,6.5,54.2
201,8.4,54.2
202,7.9,54.2
203,12.7,53.7
204,16.4,53.8
205,60.7,56.3
206,10.0,56.2
207,17.7,56.2
208,16.8,56.4
209,6.9,56.1
210,54.5,55.9
211,13.2,55.1
212,23.8,55.2
213,25.6,55.1
214,4.4,55.0
215,12.9,54.9
216,4.1,54.7
217,5.7,54.7
218,10.9,54.7
219,15.7,54.7
220,12.5,54.7
221,11.1,54.7
222,8.1,54.6
223,12.9,54.7
224,10.7,54.6
225,9.6,54.6
226,11.2,54.7
227,10.9,54.7
228,13.8,54.6
229,11.1,54.2
230,12.5,53.4
